entity_type,entity_id,name,status,issues,fixes_applied
product,24560408-dca8-539e-8b79-b9261a3158ea,UDAY 1027,clean,,
product,2a1c2030-9eec-5603-a209-1ec2b195acf1,UDAY GOLD 91,clean,,
product,588aabd8-47c1-56ac-b184-aa8dfa4ba398,UDAY GOLD 52 L,clean,,
product,7830dc3a-f4bb-5017-ab2b-bbf9913fdb7d,UDAY GOLD 84,clean,,
product,f87e9fd3-5764-5b94-bf83-51d18435440a,UDAY GOLD 32,clean,,
product,ff5cbb2e-4ced-54f2-8cb9-f440feb64ccc,EDDICA ELEGANT GRIS,clean,,
product,db0fe0c1-8715-5a1b-a2e7-7554f02057e6,VARMORA GLOSSLAB GREY,clean,,
product,edd2bbbe-6f53-56e2-82f1-8fdaf238cc11,VARMORA MATTLAB NERO,clean,,
product,015c708e-03ae-5146-bf13-fcd327c8d6a7,PENGVIN 2082 HL1,clean,,
product,01b88801-ced1-54c1-b5f4-ce4858632048,BARCELONA 21235 HL1,clean,,
product,024b46be-51cd-5da1-96f8-e175bca83eec,VARMORA AVENUE BIANCO,clean,,
product,02f89791-9b02-5c56-b67a-65c626ea3de0,VARMORA SKERRA TUSK,clean,,
product,036db243-6d41-5f52-99c0-76505b90ec5b,BARCELONA 21318 L,clean,,
product,04773154-43e7-51ca-9b58-4bf26af1e67b,PASSERO OCEAN GREEN,clean,,
product,05e73897-4b5f-5ea8-9ba3-33902b8455f3,TAG 24050,clean,,
product,06088f10-3d98-52cf-8c23-43a9817d07c9,BARCELONA CHOTILANO 601,clean,,
product,07170dab-181a-528c-b508-be6c02f6a545,ASIAN GRANITO LIMITED MUSIC WOOD,clean,,
product,07b83fe7-df9d-50ec-be25-7e366986a600,BARCELONA HECTOR 603,clean,,
product,083315fc-79a1-5a8d-a51b-3ecc00779537,BARCELONA 21166 L,clean,,
product,0957eec8-ecc1-59b8-98f4-7d9acdc9a9a0,GVIT 505,clean,,
product,0ac56afb-f353-56b1-84f2-09074fbb76e1,RANGE BRILLO GRIS DECOR A,clean,,
product,0aeb1351-e8d2-5042-8159-21bf5ed53718,EDDICA ALLIANCE DARK,clean,,
product,0b5046e9-df76-5869-aeee-da56bc012e8e,RANGE TRAVERTINO NATURAL,clean,,
product,0cee03b7-92db-571d-8fcd-0bd043b7268e,GVIT COFFEE WOOD,clean,,
product,0d6f8bb1-1263-5cdb-a9c8-83509a21b516,PENGVIN 2067 D,clean,,
product,0de39862-29ff-5f5d-b57a-224167f55f9e,BARCELONA 21251 D,clean,,
product,0f447061-97c7-57f3-b903-9b248f71d82c,VARMORA BOTTOCHINO GREEN,clean,,
product,10ea7d05-4712-5590-9afe-7bdfab877d93,BARCELONA 21181 HL1,clean,,
product,124d5bda-7df0-5567-a885-f8ee590c99ae,VARMORA SMOKY BEIGE,clean,,
product,13177a32-da84-5f7b-bd78-aac91076cd68,TAG 25115,clean,,
product,1334740a-107d-528e-91c2-258d94a9816f,BARCELONA CANE 609,clean,,
product,13a53d11-6978-5d65-a694-6bd47b7c2b93,TAG 24828,clean,,
product,13a5b765-9f4a-5feb-81f1-388a533d5268,VARMORA ALFIO WHITE,clean,,
product,14ee97de-49c6-5ed1-8b9a-5a4934792533,BARCELONA HECTOR 614,clean,,
product,1503bee9-c44b-5907-8cc4-7840da036ef0,EDDICA MOONLIGHT AQUA,clean,,
product,1556db7b-7036-56be-b946-1f7956a3a043,LIZZART SUPER WHITE,clean,,
product,15fe9dcc-2d42-5952-a5bc-360f6681e85f,RANGE CA 3584 DECOR A,clean,,
product,16f0a697-1be4-5fc6-a8b6-515f8067ba92,EDDICA LISTON GRIS,clean,,
product,17a170e6-bf82-5423-b756-384444c5719e,ETHICS B&W HL16,clean,,
