product_id,product_name,status,txn_count,opening_balance,baseline_opening_balance,reconciliation_gap,net_movement,current_quantity,projected_final,reasons
13a53d11-6978-5d65-a694-6bd47b7c2b93,TAG 24828,clean,7,0,0,0,86,86,86,
13a5b765-9f4a-5feb-81f1-388a533d5268,VARMORA ALFIO WHITE,clean,5,0,0,0,6,6,6,
1503bee9-c44b-5907-8cc4-7840da036ef0,EDDICA MOONLIGHT AQUA,clean,8,0,0,0,32,32,32,
1556db7b-7036-56be-b946-1f7956a3a043,LIZZART SUPER WHITE,clean,8,0,0,0,3,3,3,
15fe9dcc-2d42-5952-a5bc-360f6681e85f,RANGE CA 3584 DECOR A,clean,17,0,0,0,25,25,25,
16f0a697-1be4-5fc6-a8b6-515f8067ba92,EDDICA LISTON GRIS,clean,26,0,0,0,0,0,0,
17a170e6-bf82-5423-b756-384444c5719e,ETHICS B&W HL16,clean,2,0,0,0,0,0,0,
187cb4da-601a-5820-b01c-bf7994b00be8,BARCELONA BLACKBURN 608,clean,9,0,0,0,0,0,0,
19054df2-cb46-518e-bcd8-53dd2b73f415,ASIAN GRANITO LIMITED BRICKSO SLATE,clean,4,0,0,0,20,20,20,
19db0fd9-4303-5465-b6fb-e83756a8baf0,GVIT WOODEN LAKE,clean,6,0,0,0,0,0,0,
1a8f6cd6-06c7-54a0-b3b0-05303ac22791,EDDICA LISTON CREMA,clean,32,0,0,0,0,0,0,
1bb49b29-2f1a-5cca-b268-3f203ba317bf,COVERTEK BITAL GREY,clean,5,0,0,0,0,0,0,
1bc6dd73-ad51-50cc-ba93-958edd5d40f8,BARCELONA HELICON 611,clean,28,0,0,0,9,9,9,
1c360aec-bec5-5d07-8f5e-263e07555588,BARCELONA HARDEOL 623,clean,122,0,0,0,362,362,362,
1c60c5c7-0004-51d6-9aaa-b112df8088c9,EDDICA CALCATTA GOLD,clean,13,0,0,0,11,11,11,
1db6ea3d-39d9-50dd-8d56-e89e446bf022,VARMORA LEVIN NATURAL,clean,9,0,0,0,0,0,0,
1f00bb39-649b-5520-9cdf-b7f395c57e4c,BARCELONA ARGUS 625,clean,25,0,0,0,342,342,342,
2009d431-d46b-558d-b59c-8ce8fa46dd68,ETHICS GVITRA 143 BEIGE,clean,9,0,0,0,0,0,0,
20223765-e257-5949-9295-1a19ac6e5f71,BARCELONA 21044 D,clean,13,0,0,0,0,0,0,
20ef4390-d441-5253-a07b-1197558930d2,BARCELONA 21604 HL1,clean,20,0,0,0,19,19,19,
235b085d-3214-568a-a6c2-11ed33328b5b,BARCELONA 21356 HL1,clean,4,0,0,0,61,61,61,
254f2948-610b-58bd-852c-983070511106,LIZZART ROYAL IRIS,clean,17,0,0,0,6,6,6,
25ae37f1-33f8-52fe-914d-a64abee3c699,RANGE WHITE GLOSSY 240,clean,4,0,0,0,78,78,78,
2603311a-a1a4-5781-81ee-f44d0b13b894,RANGE DUNA TAUPE DECOR B,clean,8,0,0,0,39,39,39,
27139452-b783-5695-8b98-a15a4991dc16,BARCELONA FORBES 617,clean,72,0,0,0,277,277,277,
27fe45e8-61d0-5ddd-a0bc-aa6c5681a6f6,EDDICA LUX STATUARIO,clean,49,0,0,0,137,137,137,
